,BalancedRandomForest,RandomForest
10,0.5572306882331325,0.5625818232659807
11,0.9110051944979352,0.9379164700872469
12,1.0,0.9875888791507599
13,0.829195109830119,0.9214235691608751
14,0.9526086692071111,0.9669589331294386
15,1.0,0.9949959604343743
16,0.8646441648630961,0.909862136250295
18,1.0,0.994598510107609
19,0.6607774789888428,0.7596967527826833
1,0.7154646799067501,0.7438387172731205
20,0.5906547269308404,0.641152586235779
2,0.5563063578475547,0.5905687752076151
3,0.44214738492067174,0.5089062541643858
4,0.808984375960479,0.9233648561940893
6,0.6737864984802309,0.6942087577210835
7,0.6227571804635122,0.666358950336189
8,0.7396570442479502,0.8284373143879797
9,1.0,0.9872906270441973
