Process ID,D2C_R,TD2C_R,TD2C_Ranking_1_1_Var,TD2C_Ranking_1_2_Var,TD2C_Ranking_2,TD2C_Ranking_3,TD2C_Ranking_4,TD2C_Ranking_5,TD2C_Ranking_6,TD2C_Ranking_7,TD2C_Ranking_NoCont,TD2C_Ranking_PastFut
1,0.046017034436152085,0.3955126049804331,0.4264134272349449,0.4490409940331279,0.00948324773053034,0.027421062733562734,0.42532396820915636,0.09633726975638741,0.41876636027371317,0.0022727272727272726,0.35535436364807554,0.025625
2,0.16973496239714353,0.14821141322248002,0.16666823444412499,0.13345179351684544,0.0940422687160135,0.10871368948613018,0.12149062204619614,0.22957869165118167,0.12706462520009937,0.07125089926101902,0.15401297895971683,0.19913602648625256
3,0.07332188644688645,0.0,0.018601190476190476,0.11742334054834054,0.008125,0.0035714285714285713,0.016382575757575756,0.2604639453468788,0.03609126984126984,0.15847346275480892,0.0035714285714285713,0.04966269841269841
4,0.4284459426265692,0.8197939213564214,0.5073704260477955,0.846805068055068,0.45701297480370273,0.6552533291871527,0.7555032676179293,0.6145158984904409,0.7282057117718883,0.5103128701009136,0.5619734816477587,0.8886770699270699
6,0.1878404642742878,0.5358730158730158,0.34270375457875457,0.3637071262071262,0.40605158730158725,0.476656746031746,0.38957358613608617,0.2822591991341991,0.3227968559218559,0.22777303106250474,0.3380250305250305,0.330350690975691
7,0.3692105288273294,0.19572237773854748,0.3326153316529838,0.3624298408961554,0.25331529682477827,0.27589823405883107,0.3686948725938664,0.2988062028515869,0.35623915711276055,0.26898916262802147,0.35550520299255817,0.4730009289694392
8,0.4002060660616237,0.39425847166810846,0.4749576763175708,0.4627349503712107,0.450305423663246,0.3725955549690659,0.40338746869953174,0.36225578270385783,0.3543540589312648,0.31837103673616834,0.4961899085731229,0.4184118484736679
9,0.6838005271072979,0.570042983123188,0.7048063582339049,0.7214585880354858,0.6407841631404695,0.6026253934848339,0.70318441891889,0.643680410820911,0.7007087159639455,0.6315829080485926,0.6957218338813871,0.7244011860143152
10,0.09459353146853147,0.15767406204906204,0.13376796814296815,0.15628885003885004,0.12875,0.16544348925927874,0.19992393023643024,0.15193851276862114,0.1805856833580114,0.10618284282796667,0.17167568542568543,0.09167215702777352
11,0.3326483734451412,0.41620170920480515,0.37296133945958976,0.35954949656299096,0.3844338160438044,0.39199250494056453,0.3889227489047872,0.26856708067035656,0.32949800539925767,0.28092499048663194,0.4199582237078367,0.25762382664825617
12,0.6759112627994854,0.5919661564889815,0.6949700040085436,0.7272609345224945,0.6472079949242519,0.6063242787258571,0.7019774965861577,0.6390372917456226,0.7041857755825863,0.6371829345025668,0.6889117953326879,0.7189017773717191
13,0.6379547882672882,0.9201587301587301,0.8074529637029636,0.8161715367965368,0.8431610750360751,0.889788961038961,0.8443763875013875,0.6603768904799306,0.666226468964472,0.6942847978605651,0.8913474025974025,0.6115422799594626
14,0.3996677597647019,0.4058034933547704,0.3955542530010409,0.3610485504917377,0.4073948803156132,0.3914755515036929,0.4181868946971501,0.2885628851317049,0.4064815504264579,0.33259313752264785,0.3931466081862754,0.27892491388811075
15,0.8806323537573537,0.951016414141414,0.9505952380952382,0.9724007936507937,0.9554834054834055,0.8938745282495283,0.943519536019536,0.5483522982149143,0.977470238095238,0.5775161888764829,0.9444146825396824,0.8684591103341104
16,0.03163503163503163,0.45710683311786254,0.4089637180629828,0.4145153629480255,0.47253348163274633,0.4477579283461637,0.3479904988157697,0.21741603090741818,0.3906410245437621,0.17003654417753128,0.37183242947401696,0.11968371497783263
18,0.8702520396270396,0.956294191919192,0.9465277777777779,0.9609505772005772,0.9689583333333334,0.8972528860028859,0.9295508658008658,0.5586138101038743,0.9913194444444444,0.5910753481573242,0.9469146825396825,0.8642105810855811
19,0.4834413656067563,0.5119624683851828,0.46822661137058874,0.5641916317444609,0.4278155919765238,0.46435677270006614,0.5604226669253956,0.6415930998467763,0.6467206523993896,0.5469123676031571,0.5274604954297817,0.7993716246213218
20,0.3615938041250708,0.16395815741647518,0.31215164027629244,0.3031044389196948,0.2631236594967651,0.2381004150645878,0.37023270400559366,0.17090815924564753,0.2882232313121364,0.2180208528678531,0.2890368314028916,0.26925713089658665
