method,ROC-AUC,Precision,Recall,F1
TD2C_Ranking_4,0.8710726867665388,,,
TD2C_Ranking_1_2_Var,0.8682410774340443,,,
TD2C_Ranking_1_1_Var,0.8647791310452559,,,
TD2C_Ranking_5,0.8640228770439725,,,
TD2C_Ranking_6,0.8614498127035136,,,
TD2C_Ranking_NoCont,0.8574159305632038,,,
TD2C_Ranking_3,0.8447441523489422,,,
TD2C_Ranking_PastFut,0.8413826508964738,,,
TD2C_Ranking_1_2_Var,,0.5051407708077512,,
TD2C_Ranking_4,,0.4938135838595724,,
TD2C_Ranking_6,,0.4791988238634752,,
TD2C_Ranking_NoCont,,0.4780585036352789,,
TD2C_R,,0.4773087224554816,,
TD2C_Ranking_1_1_Var,,0.4702948840491253,,
TD2C_Ranking_PastFut,,0.4438284758927716,,
TD2C_Ranking_3,,0.4393945974641298,,
TD2C_Ranking_4,,,0.6330979938271605,
TD2C_Ranking_1_1_Var,,,0.6237574404761904,
TD2C_Ranking_NoCont,,,0.6206751543209876,
TD2C_Ranking_6,,,0.6199198082010582,
TD2C_Ranking_1_2_Var,,,0.6169259810405644,
TD2C_Ranking_5,,,0.6112251984126984,
TD2C_Ranking_2,,,0.5794127535273368,
TD2C_Ranking_PastFut,,,0.564901069223986,
TD2C_Ranking_4,,,,0.5239910422289298
TD2C_Ranking_1_2_Var,,,,0.509342635387966
TD2C_Ranking_NoCont,,,,0.5051872967766217
TD2C_Ranking_1_1_Var,,,,0.5040757406357123
TD2C_Ranking_6,,,,0.4997399423763039
TD2C_R,,,,0.4699646923572343
TD2C_Ranking_2,,,,0.4619701795760625
TD2C_Ranking_PastFut,,,,0.4564214310180355
